,Start Time,End Time,Trip Duration,Start Station,End Station,User Type
109337,21-01-2017 15:12,21-01-2017 15:22,552.929,8th & East Capitol St NE,3rd & G St SE,Subscriber
65244,13-01-2017 18:07,13-01-2017 18:27,1187.018,L'Enfant Plaza / 7th & C St SW,15th & East Capitol St NE,Subscriber
282144,16-02-2017 08:52,16-02-2017 09:00,477.426,18th & R St NW,11th & O St NW,Subscriber
187599,02-02-2017 16:32,02-02-2017 16:38,361.635,17th & Rhode Island Ave NW,21st & I St NW,Subscriber
1570198,17-06-2017 07:13,17-06-2017 07:49,2168.424,Columbia Rd & Belmont St NW,Lincoln Memorial,Customer
369827,24-02-2017 21:21,24-02-2017 21:41,1231.747,14th & G St NW,North Capitol St & F St NW,Customer
51451,12-01-2017 08:43,12-01-2017 08:50,455.279,17th & K St NW,14th & Rhode Island Ave NW,Subscriber
1384051,03-06-2017 04:06,03-06-2017 04:23,1016.835,11th & Kenyon St NW,17th & K St NW / Farragut Square,Subscriber
1740807,30-06-2017 04:45,30-06-2017 05:09,1458.307,River Rd & Landy Ln,River Rd & Landy Ln,Subscriber
1179477,16-05-2017 12:12,16-05-2017 02:43,9107.897,Lincoln Memorial,S Joyce & Army Navy Dr,Customer
663965,02-04-2017 06:17,02-04-2017 06:44,1612.343,Jefferson Memorial,12th & L St NW,Subscriber
25444,06-01-2017 13:14,06-01-2017 13:16,138.248,Florida Ave & R St NW,New Jersey Ave & R St NW,Subscriber
929504,23-04-2017 11:49,23-04-2017 11:51,142.741,14th & Irving St NW,11th & Kenyon St NW,Subscriber
963502,27-04-2017 07:16,27-04-2017 07:34,1098.968,Lynn & 19th St North,22nd & I St NW / Foggy Bottom,Subscriber
818403,14-04-2017 08:16,14-04-2017 08:34,1062.78,8th & D St NW,12th & U St NW,Subscriber
902353,21-04-2017 01:25,21-04-2017 01:51,1576.006,22nd St & Constitution Ave NW,20th & E St NW,Customer
473396,09-03-2017 18:37,09-03-2017 18:48,685.19,Georgia & New Hampshire Ave NW,Adams Mill & Columbia Rd NW,Subscriber
1248362,22-05-2017 06:29,22-05-2017 06:32,186.975,Eastern Market Metro / Pennsylvania Ave & 7th St SE,8th & East Capitol St NE,Subscriber
1580839,18-06-2017 05:27,18-06-2017 05:46,1191.669,8th & O St NW,24th & N St NW,Subscriber
28066,06-01-2017 20:13,06-01-2017 20:19,332.703,Duke St & John Carlyle St,Eisenhower Ave & Mill Race Ln,Subscriber
415792,02-03-2017 17:36,02-03-2017 17:43,395.663,12th & U St NW,15th & P St NW,Subscriber
118393,23-01-2017 18:02,23-01-2017 18:17,866.366,1st & M St NE,4th & E St SW,Subscriber
1210867,19-05-2017 06:42,19-05-2017 06:44,118.642,15th & L St NW,17th & K St NW,Subscriber
1050140,04-05-2017 01:23,04-05-2017 01:40,966.934,Braddock Rd Metro,S Glebe & Potomac Ave,Subscriber
1464172,09-06-2017 06:15,09-06-2017 06:39,1398.253,17th St & Independence Ave SW,Columbus Circle / Union Station,Subscriber
253342,11-02-2017 18:39,11-02-2017 18:53,836.888,Washington & Independence Ave SW/HHS,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Customer
696427,05-04-2017 04:12,05-04-2017 04:32,1196.236,Georgia Ave and Fairmont St NW,New York Ave & 15th St NW,Subscriber
691575,04-04-2017 09:02,04-04-2017 09:05,162.897,17th St & Massachusetts Ave NW,17th & K St NW,Subscriber
1089977,08-05-2017 06:40,08-05-2017 07:04,1449.502,Henry Bacon Dr & Lincoln Memorial Circle NW,10th & G St NW,Customer
1120744,10-05-2017 11:23,10-05-2017 11:33,646.312,New Jersey Ave & R St NW,New Hampshire Ave & T St NW,Subscriber
